date,eng_name
4/15/2014,Passover (Day 1)
4/16/2014,Passover (Day 2)
4/17/2014,Passover (Day 3)
4/18/2014,Passover (Day 4)
4/19/2014,Passover (Day 5)
4/20/2014,Passover (Day 6)
4/21/2014,Passover (Day 7)
4/27/2014,Yom HaShoah
5/5/2014,Yom HaZikaron
5/6/2014,Yom HaAtzmaut
5/18/2014,Lag BaOmer
5/28/2014,Jerusalem Day
6/3/2014,Shavuot Eve
6/4/2014,Shavuot
7/15/2014,17th of Tammuz
8/5/2014,Tisha B'Av
9/24/2014,Rosh Hashana Eve
9/25/2014,Rosh Hashana
9/26/2014,Rosh Hashana (Day 2)
9/28/2014,Gedaliah Fast
10/3/2014,Yom Kippur Eve
10/4/2014,Yom Kippur
10/8/2014,Sukkot Eve
10/9/2014,Sukkot (Day 1)
10/10/2014,Sukkot (Day 2)
10/11/2014,Sukkot (Day 3)
10/12/2014,Sukkot (Day 4)
10/13/2014,Sukkot (Day 5)
10/14/2014,Sukkot (Day 6)
10/15/2014,Sukkot (Day 7) / Hoshanah Rabah
10/16/2014,Shemini Atzeret / Simchat Torah
12/17/2014,Hanukkah (Day 1)
12/18/2014,Hanukkah (Day 2)
12/19/2014,Hanukkah (Day 3)
12/20/2014,Hanukkah (Day 4)
12/21/2014,Hanukkah (Day 5)
12/22/2014,Hanukkah (Day 6) / Rosh Chodesh Tevet
12/23/2014,Hanukkah (Day 7)
12/24/2014,Hanukkah (Day 8)
1/1/2015,Asarah B'Tevet (Tenth of Tevet)
1/27/2015,Holocaust Remembrance Day
2/4/2015,Tu Bishvat
3/4/2015,Fast of Esther
3/5/2015,Purim
3/6/2015,Shushan Purim (Jerusalem)
3/17/2015,Election Day
4/3/2015,Passover Eve
4/4/2015,Passover (Day 1)
4/5/2015,Passover (Day 2)
4/6/2015,Passover (Day 3)
4/7/2015,Passover (Day 4)
4/8/2015,Passover (Day 5)
4/9/2015,Passover (Day 6)
4/10/2015,Passover (Day 7)
4/16/2015,Yom HaShoah
4/22/2015,Yom HaZikaron
4/23/2015,Yom HaAtzmaut
5/7/2015,Lag BaOmer
5/17/2015,Jerusalem Day
5/23/2015,Shavuot Eve
5/24/2015,Shavuot
7/2/2015,17th of Tammuz
7/23/2015,Tisha B'Av
9/13/2015,Rosh Hashana Eve
9/14/2015,Rosh Hashana
9/15/2015,Rosh Hashana (Day 2)
9/16/2015,Gedaliah Fast
